Quarter	Gender	Campaign	Ad group	Status	Bid adj.	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Broad	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | Brand | NL	Brand	Campaign paused	—	€124.25	1909	716	Clicks	0.3751	€0.33	€237.19	0.1738	124.47
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Phrase - Competitor	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Ehsan - Generic Search_Dutch_NL/BE	Exact	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	Remarketing	Add payment info	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor anni rolfi	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor blom kousen	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor calzedonia	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor falke	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
Last Quarter	Female	S | General | NL	competitor hedoïne	Campaign paused	—	—	0	0	—	—	€0.00	0	0	€0.00
